txn_id,customer_id,transaction_date,transaction_type,transaction_mode,amount,beneficiary_country
TXN000067,CUST00014,2025-02-19,NEFT/RTGS,Branch,91633,USA
TXN000068,CUST00015,2025-12-15,Cash Withdrawal,Online,43633,Australia
TXN000069,CUST00016,2025-06-19,Cash Withdrawal,ATM,36437,UK
TXN000070,CUST00017,2025-10-26,Card Payment,Online,49373,Germany
TXN000071,CUST00017,2025-09-14,Wire Transfer,Mobile App,35640,Germany
TXN000072,CUST00017,2025-03-12,Cash Deposit,ATM,42672,Canada
TXN000073,CUST00017,2025-08-23,Cash Deposit,ATM,46311,Germany
TXN000074,CUST00017,2025-04-01,Cash Withdrawal,Online,45055,Australia
TXN000075,CUST00017,2025-04-18,Cash Deposit,Branch,46779,India
TXN000076,CUST00017,2025-08-11,NEFT/RTGS,Mobile App,46865,Germany
TXN000077,CUST00017,2025-07-16,Wire Transfer,Online,28761,Germany
TXN000078,CUST00018,2025-09-29,Cash Deposit,Online,6377,UK
TXN000079,CUST00019,2025-06-26,Cash Withdrawal,Branch,28151,USA
TXN000080,CUST00019,2025-01-24,Cash Withdrawal,ATM,30152,India
TXN000081,CUST00019,2025-11-02,Card Payment,ATM,44312,Germany
TXN000082,CUST00020,2025-09-08,Cash Withdrawal,Branch,25316,UK
TXN000083,CUST00021,2025-03-09,Cash Deposit,Online,79572,India
TXN000084,CUST00021,2025-01-20,NEFT/RTGS,ATM,51941,Canada
TXN000085,CUST00021,2025-11-01,Wire Transfer,Online,57700,Canada
TXN000086,CUST00021,2025-08-16,NEFT/RTGS,Online,59747,Australia
TXN000087,CUST00021,2025-12-26,Cash Deposit,Branch,54753,Canada
TXN000088,CUST00021,2025-02-21,Card Payment,ATM,57251,Australia
TXN000089,CUST00022,2025-03-02,Cash Withdrawal,Online,24028,Germany
TXN000090,CUST00022,2025-11-08,Cash Deposit,ATM,21086,India
TXN000091,CUST00022,2025-03-24,Wire Transfer,Mobile App,27242,Canada
TXN000092,CUST00022,2025-09-04,Cash Withdrawal,Branch,22250,USA
TXN000093,CUST00023,2025-03-18,Wire Transfer,Online,19573,Canada
TXN000094,CUST00023,2025-08-22,Cash Withdrawal,ATM,18078,Australia
TXN000095,CUST00023,2025-03-31,Wire Transfer,ATM,11143,Germany
TXN000096,CUST00023,2025-02-18,Wire Transfer,Online,20548,UK
TXN000097,CUST00023,2025-03-29,Cash Withdrawal,ATM,16276,USA
TXN000098,CUST00023,2025-07-10,Cash Withdrawal,Branch,22430,Germany
TXN000099,CUST00023,2025-08-22,Cash Withdrawal,Mobile App,18616,India
TXN000100,CUST00024,2025-03-27,Wire Transfer,Branch,47495,Australia
TXN000101,CUST00024,2025-02-23,NEFT/RTGS,Mobile App,55246,Australia
TXN000102,CUST00024,2025-04-03,Card Payment,Mobile App,26579,Canada
TXN000103,CUST00025,2025-02-27,NEFT/RTGS,Mobile App,16143,Germany
TXN000104,CUST00025,2025-09-26,Card Payment,Branch,165347,India
TXN000105,CUST00025,2025-09-23,Card Payment,Online,24626,Australia
TXN000106,CUST00025,2025-12-13,NEFT/RTGS,Branch,20362,Germany
TXN000107,CUST00025,2025-11-10,Wire Transfer,Online,19281,Canada
TXN000108,CUST00026,2025-02-08,NEFT/RTGS,ATM,60416,Germany
TXN000109,CUST00026,2025-10-09,NEFT/RTGS,Mobile App,61283,USA
TXN000110,CUST00026,2025-08-16,Card Payment,Mobile App,75892,USA
TXN000111,CUST00027,2025-12-01,Wire Transfer,Online,52155,India
TXN000112,CUST00027,2025-11-06,Card Payment,ATM,202583,Germany
TXN000113,CUST00027,2025-12-02,NEFT/RTGS,ATM,52628,Canada
TXN000114,CUST00027,2025-06-19,Card Payment,Mobile App,54219,UK
TXN000115,CUST00027,2025-08-20,Wire Transfer,Online,31204,Australia
TXN000116,CUST00027,2025-05-30,Card Payment,ATM,47924,Australia
TXN000117,CUST00028,2025-07-29,Wire Transfer,ATM,22451,India
TXN000118,CUST00028,2025-03-03,NEFT/RTGS,Branch,16273,Canada
TXN000119,CUST00028,2025-08-01,Wire Transfer,Online,20046,Germany
TXN000120,CUST00028,2025-10-29,Card Payment,Branch,16737,Germany
TXN000121,CUST00028,2025-08-10,Card Payment,Mobile App,25115,Germany
TXN000122,CUST00028,2025-04-01,Card Payment,Branch,19103,Canada
TXN000123,CUST00029,2025-09-16,NEFT/RTGS,Mobile App,49973,Australia
TXN000124,CUST00029,2025-08-20,Cash Deposit,Branch,816363,UAE
TXN000125,CUST00029,2025-09-20,Cash Withdrawal,ATM,46244,Germany
TXN000126,CUST00029,2025-12-18,Cash Withdrawal,Branch,395863,UAE
TXN000127,CUST00030,2025-06-30,Card Payment,Mobile App,20533,Canada
TXN000128,CUST00030,2025-12-08,NEFT/RTGS,ATM,26180,Canada
TXN000129,CUST00031,2025-07-15,Cash Deposit,Online,5699,Canada
TXN000130,CUST00031,2025-05-27,Cash Withdrawal,Branch,7659,Australia
TXN000131,CUST00031,2025-06-01,Cash Deposit,Online,7039,India
TXN000132,CUST00031,2025-10-15,Cash Deposit,Mobile App,6915,UK
TXN000133,CUST00031,2025-12-23,Cash Withdrawal,Online,6101,USA
TXN000134,CUST00031,2025-06-10,Card Payment,Online,4129,Germany
TXN000135,CUST00032,2025-08-15,Cash Deposit,ATM,6683,Australia
TXN000136,CUST00032,2025-11-05,Cash Deposit,Branch,8564,Canada
TXN000137,CUST00032,2025-03-30,Card Payment,Online,3058,UK
TXN000138,CUST00032,2025-05-23,Card Payment,ATM,7911,Germany
TXN000139,CUST00032,2025-03-21,Wire Transfer,Branch,39291,USA
TXN000140,CUST00032,2025-11-17,Card Payment,ATM,8895,UK
TXN000141,CUST00032,2025-12-29,Cash Withdrawal,Branch,7119,Germany
TXN000142,CUST00033,2025-10-02,NEFT/RTGS,Online,35379,Canada
TXN000143,CUST00033,2025-04-20,Cash Withdrawal,ATM,31967,UK
TXN000144,CUST00034,2025-11-29,Wire Transfer,Online,82563,Germany
TXN000145,CUST00034,2025-11-15,Cash Deposit,Online,68262,Australia
TXN000146,CUST00034,2025-07-15,Wire Transfer,Mobile App,83635,Australia
TXN000147,CUST00035,2025-07-11,Card Payment,Mobile App,10879,Canada
TXN000148,CUST00035,2025-09-21,Wire Transfer,Online,11627,Germany
TXN000149,CUST00035,2025-10-03,Card Payment,Online,9196,USA
TXN000150,CUST00035,2025-12-17,NEFT/RTGS,Online,10487,Australia
TXN000151,CUST00036,2025-02-06,Cash Deposit,Online,38175,Canada
TXN000152,CUST00036,2025-02-07,Wire Transfer,Branch,20397,Germany
TXN000153,CUST00036,2025-08-19,NEFT/RTGS,Mobile App,242350,Cyprus
TXN000154,CUST00036,2025-01-04,Card Payment,Online,374810,Malta
TXN000155,CUST00036,2025-05-29,Cash Withdrawal,Online,456189,Cayman Islands
TXN000156,CUST00037,2025-03-22,Card Payment,Branch,30453,Germany
TXN000157,CUST00037,2025-10-07,Cash Withdrawal,Branch,52457,USA
TXN000158,CUST00037,2025-11-28,Cash Withdrawal,Online,33707,UK
TXN000159,CUST00038,2025-07-21,Card Payment,Online,80408,Canada
TXN000160,CUST00039,2025-07-31,Card Payment,Branch,44727,USA
TXN000161,CUST00039,2025-11-12,Cash Withdrawal,Branch,25500,USA
TXN000162,CUST00039,2025-10-09,NEFT/RTGS,Online,51673,India
TXN000163,CUST00039,2025-05-09,Wire Transfer,Branch,59575,UK
TXN000164,CUST00039,2025-12-10,Cash Deposit,Online,25598,Australia
TXN000165,CUST00040,2025-06-18,Card Payment,ATM,47404,Canada
TXN000166,CUST00040,2025-10-17,Card Payment,ATM,44733,Australia
TXN000167,CUST00041,2025-05-22,Cash Withdrawal,Branch,348452,Cyprus
TXN000168,CUST00041,2025-06-06,NEFT/RTGS,Online,25915,Australia
TXN000169,CUST00041,2025-05-24,Cash Deposit,Branch,16050,USA
TXN000170,CUST00041,2025-09-17,Wire Transfer,Mobile App,26317,UK
TXN000171,CUST00041,2025-10-06,Card Payment,Mobile App,145449,UAE
TXN000172,CUST00041,2025-03-10,NEFT/RTGS,Online,344789,UAE
TXN000173,CUST00042,2025-11-11,Cash Deposit,Branch,40199,UK
TXN000174,CUST00042,2025-10-17,Card Payment,Branch,56778,Germany
TXN000175,CUST00043,2025-09-07,Cash Deposit,Online,40113,India
TXN000176,CUST00043,2025-07-04,NEFT/RTGS,Mobile App,49928,UK
TXN000177,CUST00043,2025-01-21,Cash Withdrawal,Online,54279,Germany
TXN000178,CUST00043,2025-05-15,Card Payment,Branch,66483,Australia
TXN000179,CUST00044,2025-02-09,Card Payment,ATM,43910,Australia
TXN000180,CUST00044,2025-04-25,Card Payment,Mobile App,64375,Germany
TXN000181,CUST00044,2025-11-06,Wire Transfer,Branch,58470,UK
TXN000182,CUST00044,2025-02-09,Card Payment,ATM,45244,Germany
TXN000183,CUST00045,2025-03-02,Cash Deposit,Mobile App,59032,Canada
TXN000184,CUST00045,2025-04-18,Card Payment,Branch,50241,UK
TXN000185,CUST00045,2025-01-12,Cash Deposit,Online,40657,Australia
TXN000186,CUST00045,2025-01-21,Card Payment,Branch,46906,USA
TXN000187,CUST00046,2025-11-03,Card Payment,Online,12247,USA
TXN000188,CUST00046,2025-05-26,Wire Transfer,Branch,13879,Australia
TXN000189,CUST00046,2025-04-23,NEFT/RTGS,Branch,10144,Germany
TXN000190,CUST00046,2025-04-04,Card Payment,ATM,10600,Canada
TXN000191,CUST00047,2025-04-28,NEFT/RTGS,Mobile App,81479,Canada
TXN000192,CUST00047,2025-09-16,NEFT/RTGS,Branch,71163,USA
TXN000193,CUST00047,2025-09-01,Card Payment,Online,69900,Canada
TXN000194,CUST00047,2025-03-08,Card Payment,Online,57994,Canada
TXN000195,CUST00047,2025-09-25,NEFT/RTGS,ATM,64302,Australia
TXN000196,CUST00047,2025-09-04,NEFT/RTGS,ATM,60029,India
TXN000197,CUST00048,2025-02-12,Cash Withdrawal,Mobile App,20510,Germany
TXN000198,CUST00048,2025-12-30,Wire Transfer,Online,20830,UK
TXN000199,CUST00049,2025-07-29,Cash Withdrawal,Online,31157,Australia
TXN000200,CUST00049,2025-10-02,NEFT/RTGS,ATM,24349,USA
TXN000201,CUST00050,2025-10-13,NEFT/RTGS,Branch,36680,Australia
TXN000202,CUST00050,2025-09-05,Cash Withdrawal,ATM,44451,UK
TXN000203,CUST00050,2025-12-04,Wire Transfer,Branch,33933,Canada
TXN000204,CUST00050,2025-03-24,Wire Transfer,Branch,51782,Germany
TXN000205,CUST00050,2025-12-23,Wire Transfer,Branch,35054,Canada
TXN000206,CUST00051,2025-11-04,NEFT/RTGS,Online,60892,Australia
TXN000207,CUST00051,2025-07-09,Wire Transfer,Online,56162,India
TXN000208,CUST00051,2025-09-24,Cash Withdrawal,Online,31847,Australia
TXN000209,CUST00051,2025-08-13,Wire Transfer,Branch,77475,USA
TXN000210,CUST00051,2025-11-03,Card Payment,Branch,68273,Australia
TXN000211,CUST00052,2025-05-22,NEFT/RTGS,ATM,125994,Australia
TXN000212,CUST00052,2025-10-28,Cash Deposit,Online,28118,Australia
TXN000213,CUST00052,2025-10-14,Card Payment,ATM,23706,Australia
TXN000214,CUST00053,2025-07-26,Card Payment,Online,54396,UK
TXN000215,CUST00054,2025-05-31,Cash Withdrawal,Online,36116,USA
TXN000216,CUST00054,2025-10-03,Card Payment,ATM,41273,Canada
TXN000217,CUST00054,2025-05-05,Cash Withdrawal,Mobile App,32078,Australia
TXN000218,CUST00054,2025-10-28,Wire Transfer,Mobile App,41908,Australia
TXN000219,CUST00054,2025-04-23,Cash Deposit,ATM,38844,India
TXN000220,CUST00054,2025-09-22,Card Payment,Online,46918,Germany
TXN000221,CUST00054,2025-12-11,Cash Withdrawal,Online,42148,Australia
TXN000222,CUST00054,2025-09-01,Cash Withdrawal,ATM,34069,Canada
TXN000223,CUST00054,2025-12-16,Cash Deposit,Mobile App,44114,USA
TXN000224,CUST00055,2025-04-14,Cash Deposit,ATM,30012,USA
TXN000225,CUST00055,2025-03-03,Wire Transfer,Mobile App,18564,USA
TXN000226,CUST00055,2025-09-04,Cash Withdrawal,ATM,43456,Canada
TXN000227,CUST00056,2025-09-19,Cash Withdrawal,Mobile App,80500,Canada
TXN000228,CUST00056,2025-03-07,Wire Transfer,Mobile App,57668,USA
TXN000229,CUST00056,2025-12-18,Cash Deposit,Mobile App,72856,Germany
TXN000230,CUST00056,2025-08-24,Cash Withdrawal,Online,68207,India
TXN000231,CUST00057,2025-05-13,Cash Deposit,ATM,18390,UK
TXN000232,CUST00057,2025-04-05,NEFT/RTGS,Mobile App,17087,USA
TXN000233,CUST00057,2025-07-10,Cash Withdrawal,Mobile App,27322,USA
TXN000234,CUST00057,2025-12-18,Cash Deposit,Online,13690,UK
TXN000235,CUST00057,2025-05-01,Card Payment,Mobile App,19648,Australia
TXN000236,CUST00058,2025-04-01,NEFT/RTGS,Mobile App,22049,Germany
TXN000237,CUST00058,2025-06-11,NEFT/RTGS,ATM,34170,USA
TXN000238,CUST00058,2025-10-18,Wire Transfer,Mobile App,24334,UK
TXN000239,CUST00058,2025-09-01,Wire Transfer,Mobile App,23969,India
TXN000240,CUST00058,2025-07-04,Cash Withdrawal,ATM,22989,Australia
TXN000241,CUST00059,2025-04-12,Card Payment,Branch,59743,Australia
TXN000242,CUST00059,2025-08-17,Wire Transfer,Mobile App,41656,UK
TXN000243,CUST00059,2025-11-20,Cash Deposit,Branch,63069,Canada
TXN000244,CUST00060,2025-07-27,Wire Transfer,Online,38879,Australia
TXN000245,CUST00061,2025-05-17,Card Payment,Mobile App,52233,Australia
TXN000246,CUST00061,2025-10-28,Card Payment,Mobile App,58878,UK
TXN000247,CUST00061,2025-01-12,Cash Deposit,Branch,36014,Germany
TXN000248,CUST00061,2025-04-18,Cash Deposit,Mobile App,46374,Australia
TXN000249,CUST00061,2025-08-31,Card Payment,Online,61892,India
TXN000250,CUST00062,2025-03-21,Wire Transfer,Mobile App,16438,India
TXN000251,CUST00062,2025-03-06,Cash Deposit,Branch,16584,UK
TXN000252,CUST00062,2025-07-02,Cash Withdrawal,Mobile App,21072,India
TXN000253,CUST00062,2025-08-16,Cash Deposit,Branch,19831,Germany
TXN000254,CUST00062,2025-11-20,Card Payment,Mobile App,15289,Canada
TXN000255,CUST00062,2025-09-04,Card Payment,Branch,13401,Canada
TXN000256,CUST00063,2025-01-06,Wire Transfer,Branch,15510,Germany
TXN000257,CUST00063,2025-10-01,Wire Transfer,Mobile App,19963,UK
TXN000258,CUST00064,2025-11-02,Cash Deposit,Online,5735,Germany
TXN000259,CUST00064,2025-07-22,Cash Deposit,Branch,5301,Canada
TXN000260,CUST00064,2025-07-19,NEFT/RTGS,Branch,7107,Australia
TXN000261,CUST00064,2025-11-10,Cash Withdrawal,ATM,7722,UK
TXN000262,CUST00064,2025-05-18,NEFT/RTGS,Branch,7026,Australia
TXN000263,CUST00064,2025-11-13,NEFT/RTGS,ATM,6619,India
TXN000264,CUST00065,2025-05-25,Cash Withdrawal,Branch,548198,USA
TXN000265,CUST00065,2025-01-08,NEFT/RTGS,Branch,303013,Australia
TXN000266,CUST00065,2025-12-23,Wire Transfer,ATM,48091,UK
TXN000267,CUST00065,2025-01-29,Cash Withdrawal,Mobile App,81204,India
TXN000268,CUST00065,2025-07-15,Wire Transfer,Online,61009,India
TXN000269,CUST00065,2025-05-07,Wire Transfer,Branch,883323,Cyprus
TXN000270,CUST00066,2025-12-15,Cash Withdrawal,ATM,79438,Australia
TXN000271,CUST00067,2025-09-04,Cash Withdrawal,Branch,97915,Canada
TXN000272,CUST00067,2025-02-27,Cash Deposit,Mobile App,100423,UK
TXN000273,CUST00067,2025-10-27,Wire Transfer,Mobile App,552916,UK
TXN000274,CUST00067,2025-09-01,Card Payment,Branch,81539,USA
TXN000275,CUST00067,2025-05-08,Cash Deposit,Mobile App,77287,UK
TXN000276,CUST00067,2025-11-17,Wire Transfer,Online,71548,India
TXN000277,CUST00068,2025-09-07,Cash Deposit,ATM,58861,Australia
TXN000278,CUST00068,2025-06-27,NEFT/RTGS,Branch,62131,Canada
TXN000279,CUST00069,2025-09-06,NEFT/RTGS,ATM,23249,UK
TXN000280,CUST00069,2025-06-28,Cash Withdrawal,Mobile App,21698,Canada
TXN000281,CUST00069,2025-11-03,Card Payment,Branch,19880,UK
TXN000282,CUST00069,2025-10-05,Cash Withdrawal,Mobile App,17802,India
TXN000283,CUST00069,2025-09-17,NEFT/RTGS,Branch,21696,India
TXN000284,CUST00069,2025-06-14,Wire Transfer,Mobile App,19510,India
TXN000285,CUST00070,2025-05-25,Cash Withdrawal,Mobile App,25737,Canada
TXN000286,CUST00070,2025-02-19,Card Payment,Online,20585,Australia
TXN000287,CUST00070,2025-04-14,Wire Transfer,Mobile App,31493,India
TXN000288,CUST00071,2025-09-08,Card Payment,ATM,38573,India
TXN000289,CUST00071,2025-11-07,Wire Transfer,Online,31828,India
TXN000290,CUST00071,2025-08-28,Wire Transfer,ATM,22394,USA
TXN000291,CUST00072,2025-12-29,Wire Transfer,ATM,93142,Australia
TXN000292,CUST00073,2025-04-21,Card Payment,Online,71561,India
TXN000293,CUST00073,2025-09-30,NEFT/RTGS,Branch,46278,India
TXN000294,CUST00073,2025-04-02,Card Payment,Mobile App,63245,USA
TXN000295,CUST00074,2025-08-07,Wire Transfer,Branch,13827,Australia
TXN000296,CUST00074,2025-09-16,Cash Withdrawal,Branch,16218,USA
TXN000297,CUST00074,2025-06-11,Card Payment,ATM,22902,Canada
TXN000298,CUST00074,2025-11-21,NEFT/RTGS,ATM,18788,UK
TXN000299,CUST00075,2025-05-11,Cash Withdrawal,Mobile App,27683,Germany
TXN000300,CUST00075,2025-05-26,Card Payment,Online,33165,Germany
TXN000301,CUST00076,2025-04-24,Cash Deposit,ATM,85183,USA
TXN000302,CUST00076,2025-12-20,Cash Withdrawal,Branch,72332,India
TXN000303,CUST00076,2025-07-07,Card Payment,Branch,86121,India
TXN000304,CUST00076,2025-06-03,Wire Transfer,Mobile App,76052,USA
TXN000305,CUST00077,2025-09-05,Cash Deposit,Mobile App,14227,Australia
TXN000306,CUST00077,2025-11-25,Cash Withdrawal,Online,13484,Australia
TXN000307,CUST00077,2025-07-15,Wire Transfer,Online,9766,Australia
TXN000308,CUST00078,2025-03-03,Cash Deposit,Online,56657,Germany
TXN000309,CUST00078,2025-01-22,Cash Withdrawal,Branch,64009,Australia
TXN000310,CUST00078,2025-04-24,Cash Deposit,Online,49944,UK
TXN000311,CUST00078,2025-11-01,Card Payment,Online,60496,Australia
TXN000312,CUST00078,2025-07-21,Cash Deposit,Branch,49634,USA
TXN000313,CUST00078,2025-07-24,Cash Withdrawal,Online,75927,UK
TXN000314,CUST00079,2025-09-04,Card Payment,Branch,41003,Canada
TXN000315,CUST00079,2025-10-20,Cash Deposit,Branch,64320,Germany
TXN000316,CUST00079,2025-10-22,Wire Transfer,Online,75084,USA
TXN000317,CUST00079,2025-07-07,Cash Withdrawal,Branch,65860,Australia
TXN000318,CUST00079,2025-03-28,Cash Withdrawal,Mobile App,47884,UK
TXN000319,CUST00080,2025-07-11,Cash Deposit,Online,32664,Germany
TXN000320,CUST00080,2025-05-05,Card Payment,Branch,26589,India
TXN000321,CUST00080,2025-08-19,NEFT/RTGS,Online,31503,UK
TXN000322,CUST00080,2025-10-03,Cash Deposit,Branch,24751,UK
TXN000323,CUST00080,2025-03-14,Wire Transfer,Mobile App,20420,Canada
TXN000324,CUST00080,2025-09-27,Wire Transfer,ATM,23568,Canada
TXN000325,CUST00080,2025-05-19,Wire Transfer,Mobile App,27112,USA
TXN000326,CUST00081,2025-12-04,Cash Withdrawal,Online,5350,India
TXN000327,CUST00081,2025-11-29,NEFT/RTGS,Branch,6716,India
TXN000328,CUST00081,2025-09-06,Card Payment,Online,4178,Germany
TXN000329,CUST00081,2025-08-23,Card Payment,Online,5989,USA
TXN000330,CUST00081,2025-07-21,Cash Deposit,Online,6116,India
TXN000331,CUST00082,2025-05-22,Wire Transfer,ATM,745818,Malta
TXN000332,CUST00082,2025-01-16,Card Payment,ATM,61789,Germany
TXN000333,CUST00082,2025-07-15,Card Payment,Branch,62916,USA
TXN000334,CUST00082,2025-11-06,Cash Withdrawal,Mobile App,329331,UAE
TXN000335,CUST00082,2025-04-14,Cash Deposit,ATM,60376,Canada
TXN000336,CUST00082,2025-03-11,NEFT/RTGS,Branch,61258,Australia
TXN000337,CUST00082,2025-04-05,Cash Withdrawal,Branch,533459,Cayman Islands
TXN000338,CUST00083,2025-08-15,Cash Withdrawal,Branch,10201,UK
TXN000339,CUST00083,2025-04-05,Wire Transfer,ATM,7610,USA
TXN000340,CUST00084,2025-07-03,Wire Transfer,Mobile App,29423,USA
TXN000341,CUST00084,2025-07-11,Cash Deposit,Mobile App,25778,USA
TXN000342,CUST00085,2025-01-08,Cash Withdrawal,Mobile App,75322,Germany
TXN000343,CUST00085,2025-04-14,Cash Deposit,Online,76332,USA
TXN000344,CUST00085,2025-09-08,Cash Withdrawal,Mobile App,105684,USA
TXN000345,CUST00085,2025-01-22,Card Payment,Mobile App,51532,USA
TXN000346,CUST00086,2025-11-25,Wire Transfer,Online,64233,Canada
TXN000347,CUST00086,2025-05-06,Card Payment,Mobile App,48369,Germany
TXN000348,CUST00086,2025-07-18,Card Payment,Online,88735,Australia
TXN000349,CUST00086,2025-05-27,NEFT/RTGS,Branch,75841,USA
TXN000350,CUST00087,2025-03-14,NEFT/RTGS,Mobile App,57307,UK
TXN000351,CUST00087,2025-02-27,Cash Deposit,Branch,57733,India
TXN000352,CUST00087,2025-10-30,Cash Deposit,Mobile App,49053,Germany
TXN000353,CUST00087,2025-12-21,Cash Deposit,Online,67204,India
TXN000354,CUST00087,2025-09-26,NEFT/RTGS,Branch,70312,India
TXN000355,CUST00087,2025-01-23,Cash Deposit,ATM,69043,Germany
TXN000356,CUST00088,2025-04-02,Wire Transfer,Mobile App,21774,USA
TXN000357,CUST00089,2025-03-02,Cash Deposit,Branch,82691,UK
TXN000358,CUST00089,2025-09-13,Card Payment,Online,56526,India
TXN000359,CUST00089,2025-05-02,Cash Deposit,Mobile App,56737,Canada
TXN000360,CUST00090,2025-05-23,Card Payment,Branch,6223,USA
TXN000361,CUST00090,2025-03-16,Wire Transfer,ATM,6018,India
TXN000362,CUST00091,2025-12-11,Cash Withdrawal,Branch,57980,India
TXN000363,CUST00091,2025-07-04,Wire Transfer,Online,51447,Germany
TXN000364,CUST00091,2025-08-07,Card Payment,Online,39271,UK
TXN000365,CUST00091,2025-03-04,Cash Withdrawal,ATM,66935,UK
TXN000366,CUST00091,2025-01-30,Wire Transfer,Online,42707,Canada
TXN000367,CUST00092,2025-05-28,NEFT/RTGS,ATM,56406,Australia
